"date","value","topic","variable_short","variable_long","location","unit","origin","update","public","description"
2020-01-17,349,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-18,275,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-19,348,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-20,368,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-21,324,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-22,342,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-23,377,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-24,418,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-25,281,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-26,317,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-27,320,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-28,289,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-29,316,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-30,317,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-01-31,336,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-01,274,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-02,310,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-03,338,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-04,304,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-05,315,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-06,331,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-07,344,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-08,286,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-09,278,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-10,242,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-11,296,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-12,313,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-13,310,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-14,351,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-15,292,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-16,319,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-17,324,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-18,293,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-19,328,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-20,332,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-21,349,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-22,303,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-23,320,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-24,335,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-25,317,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-26,319,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-27,337,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-28,360,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-02-29,291,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-01,327,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-02,323,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-03,306,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-04,321,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-05,330,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-06,337,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-07,274,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-08,311,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-09,280,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-10,219,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-11,240,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-12,259,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-13,271,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-14,226,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-15,233,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-16,177,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-17,152,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-18,118,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-19,108,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-20,123,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-21,77,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-22,79,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
2020-03-23,42,"economy","depzrh","departures_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","daily","ja","number of departures from Zurich Airport"
